movie_id,cast_name,cast_id,order
710,Simon Kunz,10701,14
710,Billy J. Mitchell,55911,15
710,Constantine Gregory,27425,16
710,Minnie Driver,6613,17
710,Michelle Arthur,29054,18
710,Ravil Isyanov,41742,19
9087,Michael Douglas,3392,0
9087,Annette Bening,516,1
9087,Michael J. Fox,521,2
9087,Martin Sheen,8349,3
9087,Anna Deavere Smith,63279,4
9087,Shawna Waldron,112080,5
9087,Samantha Mathis,20767,6
9087,David Paymer,19839,7
9087,Richard Dreyfuss,3037,8
9087,Nina Siemaszko,42133,9
9087,Wendie Malick,61980,10
9087,Beau Billingslea,78494,11
9087,Gail Strickland,42003,12
9087,Joshua Malina,131642,13
9087,Clement von Franckenstein,43115,14
9087,John Mahoney,4251,15
9087,John Mahon,43978,16
9087,Gabriel Jarret,92808,17
12110,Leslie Nielsen,7633,0
12110,Mel Brooks,14639,1
12110,Amy Yasbeck,1219,2
12110,Peter MacNicol,12688,3
12110,Lysette Anthony,12812,4
12110,Harvey Korman,13640,5
12110,Steven Weber,6106,6
12110,Mark Blankfield,29709,7
12110,Megan Cavanagh,53570,8
12110,Gregg Binkley,170185,9
12110,Anne Bancroft,10774,10
21032,Kevin Bacon,4724,0
21032,Bob Hoskins,382,1
21032,Bridget Fonda,2233,2
21032,Jim Cummings,12077,3
21032,Phil Collins,110001,4
21032,Juliette Brewer,67386,5
21032,Jack Angel,19545,6
21032,Danny Mann,52699,7
21032,Robbie Rist,77157,8
21032,Sandra Dickinson,176254,9
21032,Frank Welker,15831,10
21032,Miriam Margolyes,6199,11
21032,Lola Bates-Campbell,1592266,12
1408,Geena Davis,16935,0
1408,Matthew Modine,8654,1
1408,Frank Langella,8924,2
1408,Maury Chaykin,7868,3
1408,Patrick Malahide,8979,4
1408,Stan Shaw,16936,5
1408,Rex Linn,16937,6
1408,Paul Dillon,13925,7
1408,Christopher Masterson,35769,8
1408,Jimmie F. Skaggs,133771,9
1408,Harris Yulin,1166,10
1408,Carl Chase,127166,11
1408,Peter Geeves,1220350,12
1408,Angus Wright,1252814,13
1408,Ken Bones,91662,14
1408,Mary Peach,31294,15
1408,Thomas Lockyer,17202,16
1408,Roger Booth,1649736,17
1408,George Murcell,90625,18
1408,Simon Atherton,1117347,19
1408,Dickey Beer,1495190,20
1408,Christopher Halliday,1466675,21
1408,Chris Johnston,1420324,22
1408,Richard Leaf,16792,23
1408,Tam White,2480,24
1408,Rupert Vansittart,2479,25
1408,Nick Bartlett,19704,26
1408,David Bailie,1715,27
