movie_id,genre
8011,Fantasy
8011,Science Fiction
2654,Horror
2654,Mystery
2654,Thriller
2758,Comedy
2758,Family
2758,Fantasy
10436,Drama
10436,Romance
13595,Comedy
13595,Crime
13595,Music
306,Action
306,Comedy
306,Crime
178,Drama
178,Action
178,Thriller
4722,Horror
4722,Science Fiction
4722,Thriller
1607,Drama
1607,Crime
6075,Action
6075,Crime
6075,Drama
6075,Thriller
11310,Action
11310,Comedy
11310,Drama
11310,Western
9350,Action
9350,Adventure
9350,Thriller
9612,Comedy
9612,Science Fiction
9612,Family
2124,Drama
2124,Mystery
2124,Romance
2124,Thriller
11566,Comedy
9571,Comedy
9571,Drama
9739,Crime
9739,Action
9739,Science Fiction
37233,Drama
37233,Mystery
37233,Thriller
1634,Family
1634,Adventure
5503,Adventure
5503,Action
5503,Thriller
5503,Crime
5503,Mystery
2019,Action
2019,Adventure
2019,Crime
2019,Thriller
9255,Action
9255,Comedy
9255,War
2259,Romance
2259,Drama
11934,Comedy
11934,Drama
9386,Action
9386,Drama
9386,Thriller
9386,Crime
9386,Mystery
7984,Drama
329,Adventure
329,Science Fiction
10909,Thriller
10909,Crime
507,Action
507,Crime
507,Drama
507,Thriller
9593,Adventure
9593,Fantasy
9593,Action
9593,Comedy
9593,Family
2246,Drama
2246,Crime
10502,Drama
10440,Comedy
10440,Mystery
9516,Drama
9516,Action
9516,Crime
2320,Action
2320,Adventure
2320,Drama
2320,Thriller
5879,Drama
5879,Romance
11971,Drama
11971,Comedy
11971,Romance
788,Comedy
788,Drama
788,Family
21450,Comedy
21450,Drama
11231,Adventure
9559,Crime
9559,Drama
9559,Thriller
9800,Drama
713,Drama
713,Romance
1245,Drama
1245,Romance
7007,Action
7007,Drama
7007,Thriller
5550,Action
5550,Adventure
5550,Crime
5550,Science Fiction
5550,Thriller
8005,Comedy
10412,Action
10412,Drama
10412,Thriller
14534,Drama
424,Drama
424,History
424,War
14291,Drama
11236,Drama
11236,Family
11236,Fantasy
11592,Comedy
11592,Crime
11592,Horror
11592,Thriller
8850,Adventure
8850,Fantasy
8850,Action
8850,Thriller
8850,Science Fiction
695,Comedy
695,Drama
858,Comedy
858,Drama
858,Romance
867,Drama
867,Thriller
78,Science Fiction
78,Drama
78,Thriller
10442,Comedy
10442,Crime
10442,Romance
11074,Crime
11074,Action
11074,Mystery
11074,Thriller
9607,Adventure
9607,Comedy
9607,Family
9607,Fantasy
9479,Fantasy
9479,Animation
9479,Family
10057,Action
10057,Adventure
10057,Comedy
11969,Action
11969,Adventure
11969,Drama
11969,History
11969,Western
319,Action
319,Thriller
319,Crime
319,Romance
15139,Fantasy
15139,Science Fiction
15139,Family
15139,Animation
11446,Comedy
11446,Drama
11655,Drama
11655,Horror
11655,Thriller
10897,Romance
10897,Comedy
10897,Family
771,Comedy
771,Family
251,Fantasy
251,Drama
251,Thriller
251,Mystery
251,Romance
812,Animation
812,Family
812,Comedy
812,Adventure
812,Fantasy
812,Romance
280,Action
280,Thriller
280,Science Fiction
581,Adventure
581,Drama
581,Western
268,Fantasy
268,Action
274,Crime
274,Drama
274,Thriller
408,Fantasy
408,Animation
408,Family
10020,Romance
10020,Family
10020,Animation
10020,Fantasy
10020,Music
10895,Animation
10895,Family
114,Romance
114,Comedy
576,Adventure
576,Western
7300,Comedy
7300,Romance
275,Crime
275,Drama
275,Thriller
25059,Adventure
25059,Comedy
25059,Drama
25059,Family
11827,Animation
11827,Science Fiction
8766,Horror
8766,Thriller
8766,Science Fiction
10112,Animation
10112,Comedy
10112,Family
10112,Adventure
1592,Crime
1592,Drama
1592,Mystery
1592,Thriller
11479,Adventure
11479,Drama
11479,Comedy
11479,Family
10684,Drama
10684,Thriller
10684,Mystery
10684,War
954,Adventure
954,Action
954,Thriller
8840,Fantasy
10539,Adventure
10539,Animation
10539,Family
10543,Drama
10543,Thriller
10543,Romance
11902,War
11902,Drama
11902,Comedy
2300,Animation
2300,Comedy
2300,Drama
2300,Family
2300,Fantasy
8069,Science Fiction
8072,Drama
8072,Science Fiction
8072,Mystery
9103,Action
9103,Adventure
12233,Animation
12233,Comedy
12233,Family
922,Drama
922,Fantasy
922,Western
11687,Fantasy
11687,Comedy
11687,Science Fiction
9304,Comedy
9304,Fantasy
9304,Science Fiction
9100,Drama
9100,Fantasy
9100,Horror
9100,Thriller
9802,Action
9802,Adventure
9802,Thriller
21588,Fantasy
21588,Drama
21588,Horror
21588,Comedy
664,Action
664,Adventure
664,Drama
11867,Action
11867,Science Fiction
9323,Action
9323,Animation
9323,Science Fiction
10280,Horror
10280,Thriller
10535,Action
10535,Comedy
10547,Action
10547,Mystery
10547,Science Fiction
10547,Thriller
935,Drama
935,Comedy
935,War
11101,Drama
11101,History
11101,War
9826,Adventure
9826,Action
9879,Drama
9879,Thriller
9879,Crime
7095,Comedy
7095,Drama
7095,Science Fiction
627,Drama
627,Crime
602,Action
602,Adventure
602,Science Fiction
9566,Drama
9566,Mystery
9566,Thriller
10545,Drama
10545,Animation
10545,Family
9894,Comedy
9894,Drama
9894,Thriller
11543,Comedy
9268,Action
9268,Drama
9268,Mystery
9268,Thriller
9327,Fantasy
9327,Comedy
9327,Romance
9327,Science Fiction
11228,Action
11228,Adventure
11228,Thriller
10779,Horror
10779,Comedy
9294,Drama
9294,Fantasy
9294,Romance
9294,Science Fiction
1645,Crime
1645,Drama
1645,Thriller
2925,Comedy
3595,Action
3595,Thriller
12123,Action
12123,Drama
12123,Science Fiction
12123,Thriller
10830,Comedy
10830,Family
10830,Fantasy
3573,Drama
3573,Comedy
3573,Romance
10546,Action
10546,Fantasy
10546,Thriller
31417,Drama
31417,Horror
31417,Thriller
10061,Action
10061,Adventure
10061,Science Fiction
10061,Thriller
10478,Comedy
10478,Drama
10478,Romance
238,Drama
238,Crime
11134,Action
11134,Crime
11134,Thriller
9303,Crime
9303,Drama
9303,Romance
9303,Thriller
11015,Horror
11015,Mystery
11015,Thriller
9306,Fantasy
9306,Horror
9306,Science Fiction
10723,Action
10723,Adventure
10723,Comedy
10723,Thriller
10987,Horror
10987,Thriller
981,Comedy
981,Romance
872,Comedy
872,Music
872,Romance
2769,Drama
2769,Comedy
2769,Music
2769,Romance
13320,Music
13320,Comedy
13320,Romance
164,Comedy
164,Drama
164,Romance
426,Mystery
426,Romance
426,Thriller
567,Drama
