movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_count,vote_average,collection,oscar_nominations
68924,The Ice Storm,en,27/09/1997,112,18000000.00,8038061.00,7.1,181,6.9,,0
2054,Mr. Holland's Opus,en,29/12/1995,137,23000000.00,106269971.00,7.1,115,6.9,,1
13382,"Rudolph, the Red-Nosed Reindeer",en,06/12/1964,52,,,7.1,131,6.9,Rudolph the Red-Nosed Reindeer Collection,
28053,City Island,en,06/03/2009,104,6000000.00,6670712.00,7,114,6.9,,0
22051,Adam,en,29/07/2009,99,,,7,152,6.9,,0
9692,The Woodsman,en,24/12/2004,87,,,7,106,6.9,,0
15487,The Greatest Game Ever Played,en,30/09/2005,120,25000000.00,15431177.00,7,112,6.9,,0
152737,August: Osage County,en,26/12/2013,121,25000000.00,74188937.00,7,497,6.9,,2
9443,Chariots of Fire,en,15/05/1981,123,5500000.00,58972904.00,6.9,213,6.9,,0
1777,Fahrenheit 9/11,en,25/06/2004,122,6000000.00,119114517.00,6.8,403,6.9,,0
8051,Punch-Drunk Love,en,25/10/2002,95,25000000.00,17000000.00,6.8,542,6.9,,0
12924,The Place Promised in Our Early Days,ja,20/11/2004,91,,,6.7,108,6.9,,0
13368,White Christmas,en,13/10/1954,120,,,6.7,111,6.9,,
262551,Babysitting,fr,16/04/2014,85,,,6.7,591,6.9,Babysitting,
15144,Sixteen Candles,en,04/05/1984,93,6500000.00,23686027.00,6.7,455,6.9,,0
15165,Barbie as The Princess & the Pauper,en,28/09/2004,85,,,6.7,193,6.9,,
244539,Infinitely Polar Bear,en,18/01/2014,87,6700000.00,1430655.00,6.5,135,6.9,,0
2671,Ringu,ja,31/01/1998,96,1200000.00,8690429.00,6.5,310,6.9,Ringu Collection,0
11219,The Trouble with Harry,en,03/10/1955,99,1200000.00,7000000.00,6.5,152,6.9,,
227,The Outsiders,en,25/03/1983,91,10000000.00,33697647.00,6.4,293,6.9,,0
12143,Bad Lieutenant,en,16/09/1992,96,1000000.00,2019469.00,6.4,162,6.9,,0
10403,The Player,en,03/04/1992,124,8000000.00,21706101.00,6.2,169,6.9,,3
11257,A Room with a View,en,13/12/1985,117,3000000.00,20966644.00,6.2,164,6.9,,0
184352,Tom at the Farm,fr,16/04/2014,105,,,6.1,193,6.9,,
24469,Fish Tank,en,14/05/2009,123,3000000.00,2357852.00,6.1,256,6.9,,0
252171,A Girl Walks Home Alone at Night,en,19/01/2014,99,1000000.00,395000.00,6,258,6.9,,0
398,Capote,en,30/09/2005,114,7000000.00,49084830.00,6,394,6.9,,0
10297,How to Marry a Millionaire,en,29/10/1953,95,,,6,117,6.9,,
13002,Barbie in the 12 Dancing Princesses,en,19/09/2006,83,,,6,135,6.9,,
6399,A Friend Is a Treasure,it,09/12/1981,102,,,5.9,123,6.9,,0
11004,Wonder Boys,en,22/02/2000,111,55000000.00,33426588.00,5.9,165,6.9,,0
